category_类别ID,commentCount_评论量,itemNumId_商品NID,item_id_商品ID,itemurl_商品链接,location_商家地址,nick_商家名称,originalPrice_原价,pic_path_图片,price_售价,sold_月销量,title_名称,userId_商家ID
50011746,583,564923222341,564923222341,//detail.m.tmall.com/item.htm?id=564923222341&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,499.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i3/2784862899/TB1.tdtnOOYBuNjSsD4XXbSkFXa_!!0-item_pic.jpg_60x60.jpg,209.00,5,GXG男鞋男士凉鞋2018新款凉拖夏季拖鞋沙滩鞋韩版潮流鞋182850911,2784862899
50012051,145251,558037281069,558037281069,//detail.m.tmall.com/item.htm?id=558037281069&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 绍兴,tzldn旗舰店,88.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2121402114/O1CN012iES3q1RUFl4rxJaz_!!2121402114.jpg_60x60.jpg,33.00,98738,买一送一情侣棉拖鞋女冬季包跟2018新款居家用室内家居毛拖男冬天,2121402114
50025847,100289,570700070404,570700070404,//a.m.taobao.com/i570700070404.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 广州,a_华华华华华儿,28.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/2904988761/TB1kB8Dvk9WBuNjSspeXXaz5VXa_!!0-item_pic.jpg_60x60.jpg,7.80,4102,拖鞋男士夏季潮2018新款室内防滑软底家居女家用情侣居家浴室凉拖,2904988761
,,577306581402,577306581402,https://mclick.simba.taobao.com/cc_im?p=%CD%CF%D0%AC&s=765000034&k=621&e=Ln5FAtww%2FNCHOu6OYDG2MNIznsoJYUbLi6EGCDuyADqUGKTkEb78YxaLNIcF%2BslhV9ifUR6yXQhBRkZ1uB3md7BZZfC7VoderupXp6tum2ueyDhdX64hq3AVx%2FdToOOW29PJaDcIRyT5h20I2elSgNYG1tw6RzTyKoHG8gnca9aGr20LdAQwfvOzPykLruLjCUhligSX21a1%2B2NBLiL8jKtLt%2BlbwwTiMcCMIK%2Fo9UjrJ0qMeWfa%2B8GuEXAP%2Fvb8Lgzp6%2F7b2Hh8yE9TLGW2OorzbIIOkk7VrqQHAf75%2BDZIcH036tiEyknU24XH6d43wfym1zsLRCExUci42ZvgEnALzRNWGEYHfG9hKHhfWkSf%2BCsMUw0w%2BzFYbHSiUOBHjKkC5YqabezmyeLDPqDDVVg12uucZcYYCGL5M44GIuVT1gEShhUZIN%2Bup9%2BFN%2BZDZerHY9VvoZIebZY0vX61p7AKYhLmIVw02f4C5DL3jIJFh7tBSC8Zq%2FM83INt%2Bw9tSEwCM6vNOhxw1PaOr1ezs%2BbJ4sM%2BoMNV%2FQh5qmEEMI87SWDgzw0jLqZs6lqbf1ZLllvv8bK6E6vk8ME35PghNxTqqOG0qXpkA0ziao1Gaqw%3D,广东 揭阳,大象鞋馆,66.00,https://img.alicdn.com/imgextra/i3/119363595/O1CN011cQYKIzdzZa3rjf_!!0-saturn_solar.jpg_60x60.jpg,5.80,9919,浴室拖鞋女夏防滑男女情侣家居家用室内凉拖,3009706242
50011746,4,576668703256,576668703256,//detail.m.tmall.com/item.htm?id=576668703256&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,399.00,http://g.search1.alicdn.com/img/bao/uploaded/i4/i3/2784862899/O1CN015SASQc1XHmfXerw38_!!0-item_pic.jpg_60x60.jpg,179.00,2,GXG男鞋拖鞋男鞋子男潮鞋2018秋季新款潮流休闲凉拖鞋TMH715110,2784862899
50011746,583,564923222341,564923222341,//detail.m.tmall.com/item.htm?id=564923222341&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,499.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i3/2784862899/TB1.tdtnOOYBuNjSsD4XXbSkFXa_!!0-item_pic.jpg_60x60.jpg,209.00,5,GXG男鞋男士凉鞋2018新款凉拖夏季拖鞋沙滩鞋韩版潮流鞋182850911,2784862899
50012051,145251,558037281069,558037281069,//detail.m.tmall.com/item.htm?id=558037281069&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 绍兴,tzldn旗舰店,88.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2121402114/O1CN012iES3q1RUFl4rxJaz_!!2121402114.jpg_60x60.jpg,33.00,98738,买一送一情侣棉拖鞋女冬季包跟2018新款居家用室内家居毛拖男冬天,2121402114
50025847,100289,570700070404,570700070404,//a.m.taobao.com/i570700070404.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 广州,a_华华华华华儿,28.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/2904988761/TB1kB8Dvk9WBuNjSspeXXaz5VXa_!!0-item_pic.jpg_60x60.jpg,7.80,4102,拖鞋男士夏季潮2018新款室内防滑软底家居女家用情侣居家浴室凉拖,2904988761
50012051,70992,572694128777,572694128777,//detail.m.tmall.com/item.htm?id=572694128777&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,希维尔家居专营店,68.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2720243470/O1CN011bVIoxILB73qYu8_!!2720243470.jpg_60x60.jpg,36.80,86390,买一送一情侣居家棉拖鞋女厚底韩版家用潮冬天可爱保暖冬季男室内,2720243470
,,577306581402,577306581402,https://mclick.simba.taobao.com/cc_im?p=%CD%CF%D0%AC&s=765000034&k=621&e=Ln5FAtww%2FNCHOu6OYDG2MNIznsoJYUbLi6EGCDuyADqUGKTkEb78YxaLNIcF%2BslhV9ifUR6yXQhBRkZ1uB3md7BZZfC7VoderupXp6tum2ueyDhdX64hq3AVx%2FdToOOW29PJaDcIRyT5h20I2elSgNYG1tw6RzTyKoHG8gnca9aGr20LdAQwfvOzPykLruLjCUhligSX21a1%2B2NBLiL8jKtLt%2BlbwwTiMcCMIK%2Fo9UjrJ0qMeWfa%2B8GuEXAP%2Fvb8Lgzp6%2F7b2Hh8yE9TLGW2OorzbIIOkk7VrqQHAf75%2BDZIcH036tiEyknU24XH6d43wfym1zsLRCExUci42ZvgEnALzRNWGEYHfG9hKHhfWkSf%2BCsMUw0w%2BzFYbHSiUOBHjKkC5YqabezmyeLDPqDDVVg12uucZcYYCGL5M44GIuVT1gEShhUZIN%2Bup9%2BFN%2BZDZerHY9VvoZIebZY0vX61p7AKYhLmIVw02f4C5DL3jIJFh7tBSC8Zq%2FM83INt%2Bw9tSEwCM6vNOhxw1PaOr1ezs%2BbJ4sM%2BoMNV%2FQh5qmEEMI87SWDgzw0jLqZs6lqbf1ZLllvv8bK6E6vk8ME35PghNxTqqOG0qXpkA0ziao1Gaqw%3D,广东 揭阳,大象鞋馆,66.00,https://img.alicdn.com/imgextra/i3/119363595/O1CN011cQYKIzdzZa3rjf_!!0-saturn_solar.jpg_60x60.jpg,5.80,9919,浴室拖鞋女夏防滑男女情侣家居家用室内凉拖,3009706242
50011746,4,576668703256,576668703256,//detail.m.tmall.com/item.htm?id=576668703256&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,399.00,http://g.search1.alicdn.com/img/bao/uploaded/i4/i3/2784862899/O1CN015SASQc1XHmfXerw38_!!0-item_pic.jpg_60x60.jpg,179.00,2,GXG男鞋拖鞋男鞋子男潮鞋2018秋季新款潮流休闲凉拖鞋TMH715110,2784862899
50011746,583,564923222341,564923222341,//detail.m.tmall.com/item.htm?id=564923222341&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,499.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i3/2784862899/TB1.tdtnOOYBuNjSsD4XXbSkFXa_!!0-item_pic.jpg_60x60.jpg,209.00,5,GXG男鞋男士凉鞋2018新款凉拖夏季拖鞋沙滩鞋韩版潮流鞋182850911,2784862899
50012051,145251,558037281069,558037281069,//detail.m.tmall.com/item.htm?id=558037281069&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 绍兴,tzldn旗舰店,88.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2121402114/O1CN012iES3q1RUFl4rxJaz_!!2121402114.jpg_60x60.jpg,33.00,98738,买一送一情侣棉拖鞋女冬季包跟2018新款居家用室内家居毛拖男冬天,2121402114
50025847,100289,570700070404,570700070404,//a.m.taobao.com/i570700070404.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 广州,a_华华华华华儿,28.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/2904988761/TB1kB8Dvk9WBuNjSspeXXaz5VXa_!!0-item_pic.jpg_60x60.jpg,7.80,4102,拖鞋男士夏季潮2018新款室内防滑软底家居女家用情侣居家浴室凉拖,2904988761
50012051,70992,572694128777,572694128777,//detail.m.tmall.com/item.htm?id=572694128777&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,希维尔家居专营店,68.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2720243470/O1CN011bVIoxILB73qYu8_!!2720243470.jpg_60x60.jpg,36.80,86390,买一送一情侣居家棉拖鞋女厚底韩版家用潮冬天可爱保暖冬季男室内,2720243470
50012051,37963,575782079466,575782079466,//detail.m.tmall.com/item.htm?id=575782079466&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,上海,左逸家居专营店,78.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i4/2102608800/O1CN012EsRr19SvXg3Brs_!!0-item_pic.jpg_60x60.jpg,26.90,56573,男士棉拖鞋冬季大码厚底室内保暖防滑家居家用包跟托鞋情侣女冬天,2102608800
,,577306581402,577306581402,https://mclick.simba.taobao.com/cc_im?p=%CD%CF%D0%AC&s=765000034&k=621&e=Ln5FAtww%2FNCHOu6OYDG2MNIznsoJYUbLi6EGCDuyADqUGKTkEb78YxaLNIcF%2BslhV9ifUR6yXQhBRkZ1uB3md7BZZfC7VoderupXp6tum2ueyDhdX64hq3AVx%2FdToOOW29PJaDcIRyT5h20I2elSgNYG1tw6RzTyKoHG8gnca9aGr20LdAQwfvOzPykLruLjCUhligSX21a1%2B2NBLiL8jKtLt%2BlbwwTiMcCMIK%2Fo9UjrJ0qMeWfa%2B8GuEXAP%2Fvb8Lgzp6%2F7b2Hh8yE9TLGW2OorzbIIOkk7VrqQHAf75%2BDZIcH036tiEyknU24XH6d43wfym1zsLRCExUci42ZvgEnALzRNWGEYHfG9hKHhfWkSf%2BCsMUw0w%2BzFYbHSiUOBHjKkC5YqabezmyeLDPqDDVVg12uucZcYYCGL5M44GIuVT1gEShhUZIN%2Bup9%2BFN%2BZDZerHY9VvoZIebZY0vX61p7AKYhLmIVw02f4C5DL3jIJFh7tBSC8Zq%2FM83INt%2Bw9tSEwCM6vNOhxw1PaOr1ezs%2BbJ4sM%2BoMNV%2FQh5qmEEMI87SWDgzw0jLqZs6lqbf1ZLllvv8bK6E6vk8ME35PghNxTqqOG0qXpkA0ziao1Gaqw%3D,广东 揭阳,大象鞋馆,66.00,https://img.alicdn.com/imgextra/i3/119363595/O1CN011cQYKIzdzZa3rjf_!!0-saturn_solar.jpg_60x60.jpg,5.80,9919,浴室拖鞋女夏防滑男女情侣家居家用室内凉拖,3009706242
50011746,4,576668703256,576668703256,//detail.m.tmall.com/item.htm?id=576668703256&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,399.00,http://g.search1.alicdn.com/img/bao/uploaded/i4/i3/2784862899/O1CN015SASQc1XHmfXerw38_!!0-item_pic.jpg_60x60.jpg,179.00,2,GXG男鞋拖鞋男鞋子男潮鞋2018秋季新款潮流休闲凉拖鞋TMH715110,2784862899
50011746,583,564923222341,564923222341,//detail.m.tmall.com/item.htm?id=564923222341&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,499.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i3/2784862899/TB1.tdtnOOYBuNjSsD4XXbSkFXa_!!0-item_pic.jpg_60x60.jpg,209.00,5,GXG男鞋男士凉鞋2018新款凉拖夏季拖鞋沙滩鞋韩版潮流鞋182850911,2784862899
50012051,145251,558037281069,558037281069,//detail.m.tmall.com/item.htm?id=558037281069&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 绍兴,tzldn旗舰店,88.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2121402114/O1CN012iES3q1RUFl4rxJaz_!!2121402114.jpg_60x60.jpg,33.00,98738,买一送一情侣棉拖鞋女冬季包跟2018新款居家用室内家居毛拖男冬天,2121402114
50025847,100289,570700070404,570700070404,//a.m.taobao.com/i570700070404.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 广州,a_华华华华华儿,28.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/2904988761/TB1kB8Dvk9WBuNjSspeXXaz5VXa_!!0-item_pic.jpg_60x60.jpg,7.80,4102,拖鞋男士夏季潮2018新款室内防滑软底家居女家用情侣居家浴室凉拖,2904988761
50012051,70992,572694128777,572694128777,//detail.m.tmall.com/item.htm?id=572694128777&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,希维尔家居专营店,68.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2720243470/O1CN011bVIoxILB73qYu8_!!2720243470.jpg_60x60.jpg,36.80,86390,买一送一情侣居家棉拖鞋女厚底韩版家用潮冬天可爱保暖冬季男室内,2720243470
50012051,37963,575782079466,575782079466,//detail.m.tmall.com/item.htm?id=575782079466&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,上海,左逸家居专营店,78.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i4/2102608800/O1CN012EsRr19SvXg3Brs_!!0-item_pic.jpg_60x60.jpg,26.90,56573,男士棉拖鞋冬季大码厚底室内保暖防滑家居家用包跟托鞋情侣女冬天,2102608800
50011746,1807,579277364736,579277364736,//a.m.taobao.com/i579277364736.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 揭阳,足够魅力鞋业,56.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/2494788380/O1CN012Bm5Uvdl3K7Jg6N_!!2494788380.jpg_60x60.jpg,19.80,5471,韩版居家防滑塑料情侣一字拖,2494788380
,,577306581402,577306581402,https://mclick.simba.taobao.com/cc_im?p=%CD%CF%D0%AC&s=765000034&k=621&e=Ln5FAtww%2FNCHOu6OYDG2MNIznsoJYUbLi6EGCDuyADqUGKTkEb78YxaLNIcF%2BslhV9ifUR6yXQhBRkZ1uB3md7BZZfC7VoderupXp6tum2ueyDhdX64hq3AVx%2FdToOOW29PJaDcIRyT5h20I2elSgNYG1tw6RzTyKoHG8gnca9aGr20LdAQwfvOzPykLruLjCUhligSX21a1%2B2NBLiL8jKtLt%2BlbwwTiMcCMIK%2Fo9UjrJ0qMeWfa%2B8GuEXAP%2Fvb8Lgzp6%2F7b2Hh8yE9TLGW2OorzbIIOkk7VrqQHAf75%2BDZIcH036tiEyknU24XH6d43wfym1zsLRCExUci42ZvgEnALzRNWGEYHfG9hKHhfWkSf%2BCsMUw0w%2BzFYbHSiUOBHjKkC5YqabezmyeLDPqDDVVg12uucZcYYCGL5M44GIuVT1gEShhUZIN%2Bup9%2BFN%2BZDZerHY9VvoZIebZY0vX61p7AKYhLmIVw02f4C5DL3jIJFh7tBSC8Zq%2FM83INt%2Bw9tSEwCM6vNOhxw1PaOr1ezs%2BbJ4sM%2BoMNV%2FQh5qmEEMI87SWDgzw0jLqZs6lqbf1ZLllvv8bK6E6vk8ME35PghNxTqqOG0qXpkA0ziao1Gaqw%3D,广东 揭阳,大象鞋馆,66.00,https://img.alicdn.com/imgextra/i3/119363595/O1CN011cQYKIzdzZa3rjf_!!0-saturn_solar.jpg_60x60.jpg,5.80,9919,浴室拖鞋女夏防滑男女情侣家居家用室内凉拖,3009706242
50011746,4,576668703256,576668703256,//detail.m.tmall.com/item.htm?id=576668703256&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,399.00,http://g.search1.alicdn.com/img/bao/uploaded/i4/i3/2784862899/O1CN015SASQc1XHmfXerw38_!!0-item_pic.jpg_60x60.jpg,179.00,2,GXG男鞋拖鞋男鞋子男潮鞋2018秋季新款潮流休闲凉拖鞋TMH715110,2784862899
50011746,583,564923222341,564923222341,//detail.m.tmall.com/item.htm?id=564923222341&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,499.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i3/2784862899/TB1.tdtnOOYBuNjSsD4XXbSkFXa_!!0-item_pic.jpg_60x60.jpg,209.00,5,GXG男鞋男士凉鞋2018新款凉拖夏季拖鞋沙滩鞋韩版潮流鞋182850911,2784862899
50012051,145251,558037281069,558037281069,//detail.m.tmall.com/item.htm?id=558037281069&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 绍兴,tzldn旗舰店,88.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2121402114/O1CN012iES3q1RUFl4rxJaz_!!2121402114.jpg_60x60.jpg,33.00,98738,买一送一情侣棉拖鞋女冬季包跟2018新款居家用室内家居毛拖男冬天,2121402114
50025847,100289,570700070404,570700070404,//a.m.taobao.com/i570700070404.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 广州,a_华华华华华儿,28.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/2904988761/TB1kB8Dvk9WBuNjSspeXXaz5VXa_!!0-item_pic.jpg_60x60.jpg,7.80,4102,拖鞋男士夏季潮2018新款室内防滑软底家居女家用情侣居家浴室凉拖,2904988761
50012051,70992,572694128777,572694128777,//detail.m.tmall.com/item.htm?id=572694128777&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,希维尔家居专营店,68.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2720243470/O1CN011bVIoxILB73qYu8_!!2720243470.jpg_60x60.jpg,36.80,86390,买一送一情侣居家棉拖鞋女厚底韩版家用潮冬天可爱保暖冬季男室内,2720243470
50012051,37963,575782079466,575782079466,//detail.m.tmall.com/item.htm?id=575782079466&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,上海,左逸家居专营店,78.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i4/2102608800/O1CN012EsRr19SvXg3Brs_!!0-item_pic.jpg_60x60.jpg,26.90,56573,男士棉拖鞋冬季大码厚底室内保暖防滑家居家用包跟托鞋情侣女冬天,2102608800
50011746,1807,579277364736,579277364736,//a.m.taobao.com/i579277364736.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 揭阳,足够魅力鞋业,56.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/2494788380/O1CN012Bm5Uvdl3K7Jg6N_!!2494788380.jpg_60x60.jpg,19.80,5471,韩版居家防滑塑料情侣一字拖,2494788380
50012349,24505,575555209645,575555209645,//detail.m.tmall.com/item.htm?id=575555209645&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 金华,小蹦豆旗舰店,69.80,http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2208961778/O1CN011P0MflIj6C1eWrd_!!2208961778.jpg_60x60.jpg,21.80,38222,儿童棉拖鞋冬女可爱防滑男童宝宝保暖毛毛拖鞋包跟冬季女童室内秋,2208961778
,,577306581402,577306581402,https://mclick.simba.taobao.com/cc_im?p=%CD%CF%D0%AC&s=765000034&k=621&e=Ln5FAtww%2FNCHOu6OYDG2MNIznsoJYUbLi6EGCDuyADqUGKTkEb78YxaLNIcF%2BslhV9ifUR6yXQhBRkZ1uB3md7BZZfC7VoderupXp6tum2ueyDhdX64hq3AVx%2FdToOOW29PJaDcIRyT5h20I2elSgNYG1tw6RzTyKoHG8gnca9aGr20LdAQwfvOzPykLruLjCUhligSX21a1%2B2NBLiL8jKtLt%2BlbwwTiMcCMIK%2Fo9UjrJ0qMeWfa%2B8GuEXAP%2Fvb8Lgzp6%2F7b2Hh8yE9TLGW2OorzbIIOkk7VrqQHAf75%2BDZIcH036tiEyknU24XH6d43wfym1zsLRCExUci42ZvgEnALzRNWGEYHfG9hKHhfWkSf%2BCsMUw0w%2BzFYbHSiUOBHjKkC5YqabezmyeLDPqDDVVg12uucZcYYCGL5M44GIuVT1gEShhUZIN%2Bup9%2BFN%2BZDZerHY9VvoZIebZY0vX61p7AKYhLmIVw02f4C5DL3jIJFh7tBSC8Zq%2FM83INt%2Bw9tSEwCM6vNOhxw1PaOr1ezs%2BbJ4sM%2BoMNV%2FQh5qmEEMI87SWDgzw0jLqZs6lqbf1ZLllvv8bK6E6vk8ME35PghNxTqqOG0qXpkA0ziao1Gaqw%3D,广东 揭阳,大象鞋馆,66.00,https://img.alicdn.com/imgextra/i3/119363595/O1CN011cQYKIzdzZa3rjf_!!0-saturn_solar.jpg_60x60.jpg,5.80,9919,浴室拖鞋女夏防滑男女情侣家居家用室内凉拖,3009706242
50011746,4,576668703256,576668703256,//detail.m.tmall.com/item.htm?id=576668703256&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,399.00,http://g.search1.alicdn.com/img/bao/uploaded/i4/i3/2784862899/O1CN015SASQc1XHmfXerw38_!!0-item_pic.jpg_60x60.jpg,179.00,2,GXG男鞋拖鞋男鞋子男潮鞋2018秋季新款潮流休闲凉拖鞋TMH715110,2784862899
50011746,583,564923222341,564923222341,//detail.m.tmall.com/item.htm?id=564923222341&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,gxg男鞋旗舰店,499.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i3/2784862899/TB1.tdtnOOYBuNjSsD4XXbSkFXa_!!0-item_pic.jpg_60x60.jpg,209.00,5,GXG男鞋男士凉鞋2018新款凉拖夏季拖鞋沙滩鞋韩版潮流鞋182850911,2784862899
50012051,145251,558037281069,558037281069,//detail.m.tmall.com/item.htm?id=558037281069&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 绍兴,tzldn旗舰店,88.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2121402114/O1CN012iES3q1RUFl4rxJaz_!!2121402114.jpg_60x60.jpg,33.00,98738,买一送一情侣棉拖鞋女冬季包跟2018新款居家用室内家居毛拖男冬天,2121402114
50025847,100289,570700070404,570700070404,//a.m.taobao.com/i570700070404.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 广州,a_华华华华华儿,28.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i1/2904988761/TB1kB8Dvk9WBuNjSspeXXaz5VXa_!!0-item_pic.jpg_60x60.jpg,7.80,4102,拖鞋男士夏季潮2018新款室内防滑软底家居女家用情侣居家浴室凉拖,2904988761
50012051,70992,572694128777,572694128777,//detail.m.tmall.com/item.htm?id=572694128777&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 宁波,希维尔家居专营店,68.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2720243470/O1CN011bVIoxILB73qYu8_!!2720243470.jpg_60x60.jpg,36.80,86390,买一送一情侣居家棉拖鞋女厚底韩版家用潮冬天可爱保暖冬季男室内,2720243470
50012051,37963,575782079466,575782079466,//detail.m.tmall.com/item.htm?id=575782079466&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,上海,左逸家居专营店,78.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i4/2102608800/O1CN012EsRr19SvXg3Brs_!!0-item_pic.jpg_60x60.jpg,26.90,56573,男士棉拖鞋冬季大码厚底室内保暖防滑家居家用包跟托鞋情侣女冬天,2102608800
50011746,1807,579277364736,579277364736,//a.m.taobao.com/i579277364736.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 揭阳,足够魅力鞋业,56.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/2494788380/O1CN012Bm5Uvdl3K7Jg6N_!!2494788380.jpg_60x60.jpg,19.80,5471,韩版居家防滑塑料情侣一字拖,2494788380
50012349,24505,575555209645,575555209645,//detail.m.tmall.com/item.htm?id=575555209645&abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,浙江 金华,小蹦豆旗舰店,69.80,http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2208961778/O1CN011P0MflIj6C1eWrd_!!2208961778.jpg_60x60.jpg,21.80,38222,儿童棉拖鞋冬女可爱防滑男童宝宝保暖毛毛拖鞋包跟冬季女童室内秋,2208961778
50011746,11164,577139964350,577139964350,//a.m.taobao.com/i577139964350.htm?abtest=18&rn=bf924bc02d4ccc26f9366846bc8cf91e&sid=9ad07e1f71f6dbe0022b921c22b69dec,广东 揭阳,水上漂鞋业有限公司,87.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i3/2581835680/O1CN011rpU6ySMTYCkNPs_!!2581835680.jpg_60x60.jpg,11.80,15452,韩版时尚居家防滑防臭男女情侣一字拖,2581835680
